order_id,customer_id,order_amount
1001,1,537.5
1002,2,575.0
1003,3,612.5
1004,4,650.0
1005,5,687.5
1006,6,725.0
1007,7,762.5
1008,8,800.0
1009,9,837.5
1010,10,875.0
1011,11,912.5
1012,12,950.0
1013,13,987.5
1014,14,1025.0
1015,15,1062.5
1016,16,1100.0
1017,17,1137.5
1018,18,1175.0
1019,19,1212.5
1020,20,1250.0
1021,21,1287.5
1022,22,1325.0
1023,23,1362.5
1024,24,1400.0
1025,25,1437.5
1026,26,1475.0
1027,27,1512.5
1028,28,1550.0
1029,29,1587.5
1030,30,1625.0
1031,31,1662.5
1032,32,1700.0
1033,33,1737.5
1034,34,1775.0
1035,35,1812.5
1036,36,1850.0
1037,37,1887.5
1038,38,1925.0
1039,39,1962.5
1040,40,2000.0
1041,41,2037.5
1042,42,2075.0
1043,43,2112.5
1044,44,2150.0
1045,45,2187.5
1046,46,2225.0
1047,47,2262.5
1048,48,2300.0
1049,49,2337.5
1050,50,2375.0
1051,51,2412.5
1052,52,2450.0
1053,53,2487.5
1054,54,2525.0
1055,55,2562.5
1056,56,2600.0
1057,57,2637.5
1058,58,2675.0
1059,59,2712.5
1060,60,2750.0
1061,61,2787.5
1062,62,2825.0
1063,63,2862.5
1064,64,2900.0
1065,65,2937.5
1066,66,2975.0
1067,67,3012.5
1068,68,3050.0
1069,69,3087.5
1070,70,3125.0
1071,71,3162.5
1072,72,3200.0
1073,73,3237.5
1074,74,3275.0
1075,75,3312.5
1076,76,3350.0
1077,77,3387.5
1078,78,3425.0
1079,79,3462.5
1080,80,3500.0
1081,81,3537.5
1082,82,3575.0
1083,83,3612.5
1084,84,3650.0
1085,85,3687.5
1086,86,3725.0
1087,87,3762.5
1088,88,3800.0
1089,89,3837.5
1090,90,3875.0
1091,91,3912.5
1092,92,3950.0
1093,93,3987.5
1094,94,4025.0
1095,95,4062.5
1096,96,4100.0
1097,97,4137.5
1098,98,4175.0
1099,99,4212.5
1100,100,4250.0
1101,101,-111.0
