machine_unique_id,t_stamp_raw,opn_raw,job_nbr,ignition_run_number_raw,machine_state_nbr,cat_speed,clamp_pressure,die_temp,load_cell,mandrel_position,ram_position,ram_speed,zumbach_od,zumbach_ovality,barrel_temp,insert_date_raw,original_table_name,new_Column_is_added,new_column_added_1
901,2026-01-01 08:00:00,OP101,JOB1001,1,1,0,146.66,338.6,62.39,31.04,0,0,4.963,0.02,348.42,2026-01-01 08:00:00,aiken_ptfe_901_plc,new,new1
901,2026-01-01 08:00:10,OP101,JOB1001,1,1,2.08,147.85,339.89,61.37,30.58,0.2,2.04,5.046,0.021,350.2,2026-01-01 08:00:10,aiken_ptfe_901_plc,new,new2
901,2026-01-01 08:00:20,OP101,JOB1001,1,1,4.17,146.59,338.14,60.45,31.04,0.4,4.09,5.012,0.037,351.6,2026-01-01 08:00:20,aiken_ptfe_901_plc,new,new3
901,2026-01-01 08:00:30,OP101,JOB1001,1,2,6.25,151.75,338.78,61.14,31.51,0.6,6.12,4.984,0.036,351.7,2026-01-01 08:00:30,aiken_ptfe_901_plc,new,new4
901,2026-01-01 08:00:40,OP101,JOB1001,1,2,8.33,146.63,341.25,59.71,28.89,0.8,8.16,4.986,0.03,352.41,2026-01-01 08:00:40,aiken_ptfe_901_plc,new,new5
901,2026-01-01 08:00:50,OP101,JOB1001,1,2,10.42,147.58,340.41,58.71,31.03,1,10.21,5.046,0.025,352.12,2026-01-01 08:00:50,aiken_ptfe_901_plc,new,new6
901,2026-01-01 08:01:00,OP101,JOB1001,1,2,12.5,145.31,338.95,62.09,28.83,1.2,12.25,4.98,0.024,348.84,2026-01-01 08:01:00,aiken_ptfe_901_plc,new,new7
901,2026-01-01 08:01:10,OP101,JOB1001,1,2,14.58,153.51,339.76,61.18,28.65,1.4,14.29,4.996,0.028,349.67,2026-01-01 08:01:10,aiken_ptfe_901_plc,new,new8
901,2026-01-01 08:01:20,OP101,JOB1001,1,2,16.67,150.76,338.16,57.3,28.09,1.6,16.34,4.95,0.028,350.93,2026-01-01 08:01:20,aiken_ptfe_901_plc,new,new9
901,2026-01-01 08:01:30,OP101,JOB1001,1,2,18.75,150.9,339.68,58.38,28.23,1.8,18.38,4.972,0.029,348.26,2026-01-01 08:01:30,aiken_ptfe_901_plc,new,new10
901,2026-01-01 08:01:40,OP101,JOB1001,1,2,20.83,146.3,338.46,57.26,31.23,2,20.41,5.048,0.035,350.69,2026-01-01 08:01:40,aiken_ptfe_901_plc,new,new11
901,2026-01-01 08:01:50,OP101,JOB1001,1,2,22.92,147.01,341.32,59.88,31.27,2.2,22.46,4.975,0.028,352.67,2026-01-01 08:01:50,aiken_ptfe_901_plc,new,new12
901,2026-01-01 08:02:00,OP101,JOB1001,1,2,25,145.56,338.26,61.02,30.13,2.4,24.5,4.964,0.035,349.63,2026-01-01 08:02:00,aiken_ptfe_901_plc,new,new13
901,2026-01-01 08:02:10,OP101,JOB1001,1,2,27.08,145.64,339.85,57.73,28.41,2.61,26.54,4.972,0.023,352.61,2026-01-01 08:02:10,aiken_ptfe_901_plc,new,new14
901,2026-01-01 08:02:20,OP101,JOB1001,1,2,29.17,153.68,339,61.68,29.1,2.81,28.59,5.022,0.038,349.39,2026-01-01 08:02:20,aiken_ptfe_901_plc,new,new15
901,2026-01-01 08:02:30,OP101,JOB1001,1,2,31.25,147.28,338.17,59.42,31.47,3.01,30.62,5.046,0.039,351.47,2026-01-01 08:02:30,aiken_ptfe_901_plc,new,new16
901,2026-01-01 08:02:40,OP101,JOB1001,1,2,33.33,150.83,338.65,61.2,29.66,3.21,32.66,5.01,0.031,348.45,2026-01-01 08:02:40,aiken_ptfe_901_plc,new,new17
901,2026-01-01 08:02:50,OP101,JOB1001,1,2,35.42,146.71,338.73,57.19,28.36,3.41,34.71,5.01,0.022,352.25,2026-01-01 08:02:50,aiken_ptfe_901_plc,new,new18
901,2026-01-01 08:03:00,OP101,JOB1001,1,2,37.5,150.46,340.32,58.5,28.88,3.61,36.75,4.978,0.029,351.29,2026-01-01 08:03:00,aiken_ptfe_901_plc,new,new19
901,2026-01-01 08:03:10,OP101,JOB1001,1,2,39.58,151.22,341.22,61.08,30.87,3.81,38.79,4.969,0.026,351.14,2026-01-01 08:03:10,aiken_ptfe_901_plc,new,new20
901,2026-01-01 08:03:20,OP101,JOB1001,1,2,41.67,147.6,338.73,57.08,29.57,4.01,40.84,5.047,0.03,348.59,2026-01-01 08:03:20,aiken_ptfe_901_plc,new,new21
901,2026-01-01 08:03:30,OP101,JOB1001,1,2,43.75,153.43,340.61,62.36,28.08,4.21,42.88,5.033,0.022,350.08,2026-01-01 08:03:30,aiken_ptfe_901_plc,new,new22
901,2026-01-01 08:03:40,OP101,JOB1001,1,2,45.83,146.46,339.5,57.7,30.69,4.41,44.91,5.004,0.03,350.76,2026-01-01 08:03:40,aiken_ptfe_901_plc,new,new23
901,2026-01-01 08:03:50,OP101,JOB1001,1,2,47.92,152.89,340.15,59.81,28.54,4.61,46.96,5.039,0.039,347.07,2026-01-01 08:03:50,aiken_ptfe_901_plc,new,new24
901,2026-01-01 08:04:00,OP101,JOB1001,1,2,50,146.42,338.42,61.88,30.28,4.81,49,4.98,0.025,347.41,2026-01-01 08:04:00,aiken_ptfe_901_plc,new,new25
901,2026-01-01 08:04:10,OP101,JOB1001,1,2,50.33,148.84,338.92,61.91,31.86,5.01,49.32,5.036,0.03,351.64,2026-01-01 08:04:10,aiken_ptfe_901_plc,new,new26
901,2026-01-01 08:04:20,OP101,JOB1001,1,2,50.46,148.67,338.8,62.53,29.46,5.21,49.45,5.028,0.033,350.15,2026-01-01 08:04:20,aiken_ptfe_901_plc,new,new27
901,2026-01-01 08:04:30,OP101,JOB1001,1,2,49.95,151.19,340.22,60.5,30.11,5.41,48.95,4.968,0.03,350.78,2026-01-01 08:04:30,aiken_ptfe_901_plc,new,new28
901,2026-01-01 08:04:40,OP101,JOB1001,1,2,49.89,152.68,339.74,61.19,28.63,5.61,48.89,4.965,0.02,349.23,2026-01-01 08:04:40,aiken_ptfe_901_plc,new,new29
901,2026-01-01 08:04:50,OP101,JOB1001,1,2,50.48,150.71,340.08,61.52,31.56,5.81,49.47,4.953,0.023,349.04,2026-01-01 08:04:50,aiken_ptfe_901_plc,new,new30
901,2026-01-01 08:05:00,OP101,JOB1001,1,2,50.47,147.75,338.73,57.51,31.53,6.01,49.46,4.964,0.033,347.47,2026-01-01 08:05:00,aiken_ptfe_901_plc,new,new31
901,2026-01-01 08:05:10,OP101,JOB1001,1,2,50.76,145.69,340.38,58.32,29.41,6.21,49.74,5.039,0.038,350.27,2026-01-01 08:05:10,aiken_ptfe_901_plc,new,new32
901,2026-01-01 08:05:20,OP101,JOB1001,1,2,50.69,148.09,340.3,58,29.11,6.41,49.68,4.987,0.032,351.28,2026-01-01 08:05:20,aiken_ptfe_901_plc,new,new33
901,2026-01-01 08:05:30,OP101,JOB1001,1,2,50.22,147.47,340.94,58.28,30.56,6.61,49.22,5.042,0.032,347.05,2026-01-01 08:05:30,aiken_ptfe_901_plc,new,new34
901,2026-01-01 08:05:40,OP101,JOB1001,1,2,50.17,150.92,341.9,59.41,31.13,6.81,49.17,5.009,0.032,351.76,2026-01-01 08:05:40,aiken_ptfe_901_plc,new,new35
901,2026-01-01 08:05:50,OP101,JOB1001,1,2,49.75,150,340.07,60.9,31.03,7.01,48.76,5,0.02,349.41,2026-01-01 08:05:50,aiken_ptfe_901_plc,new,new36
901,2026-01-01 08:06:00,OP101,JOB1001,1,2,50.29,152.51,340.02,61.98,30.84,7.21,49.28,5.011,0.039,347.27,2026-01-01 08:06:00,aiken_ptfe_901_plc,new,new37
901,2026-01-01 08:06:10,OP101,JOB1001,1,2,49.77,149.62,341.62,57.7,31.16,7.41,48.77,5.031,0.027,349.35,2026-01-01 08:06:10,aiken_ptfe_901_plc,new,new38
901,2026-01-01 08:06:20,OP101,JOB1001,1,2,50.41,152.98,340.15,61.67,28.03,7.62,49.4,5.041,0.039,348.45,2026-01-01 08:06:20,aiken_ptfe_901_plc,new,new39
901,2026-01-01 08:06:30,OP101,JOB1001,1,2,49.31,145.57,340.38,59.68,28.26,7.82,48.32,5.041,0.033,352.83,2026-01-01 08:06:30,aiken_ptfe_901_plc,new,new40
901,2026-01-01 08:06:40,OP101,JOB1001,1,2,49.39,153.48,341.42,59.91,29.53,8.02,48.4,4.954,0.035,349.15,2026-01-01 08:06:40,aiken_ptfe_901_plc,new,new41
901,2026-01-01 08:06:50,OP101,JOB1001,1,2,49.42,152.64,340.93,59.57,30.93,8.22,48.43,4.998,0.026,348.86,2026-01-01 08:06:50,aiken_ptfe_901_plc,new,new42
901,2026-01-01 08:07:00,OP101,JOB1001,1,2,50.16,146.16,341.5,61.74,28.17,8.42,49.16,4.966,0.035,349.86,2026-01-01 08:07:00,aiken_ptfe_901_plc,new,new43
901,2026-01-01 08:07:10,OP101,JOB1001,1,2,50.51,147.35,340.77,57.83,30.23,8.62,49.5,5.029,0.026,348.19,2026-01-01 08:07:10,aiken_ptfe_901_plc,new,new44
901,2026-01-01 08:07:20,OP101,JOB1001,1,2,49.63,148.34,341.5,61.19,31.62,8.82,48.64,4.956,0.023,349.99,2026-01-01 08:07:20,aiken_ptfe_901_plc,new,new45
901,2026-01-01 08:07:30,OP101,JOB1001,1,2,50.54,145.68,340.54,58.16,31.39,9.02,49.53,5.013,0.026,351.59,2026-01-01 08:07:30,aiken_ptfe_901_plc,new,new46
901,2026-01-01 08:07:40,OP101,JOB1001,1,2,49.32,151.16,341.92,58.78,28.79,9.22,48.33,5.047,0.032,352.33,2026-01-01 08:07:40,aiken_ptfe_901_plc,new,new47
901,2026-01-01 08:07:50,OP101,JOB1001,1,2,49.92,145.17,339.82,58.27,31.39,9.42,48.92,5.036,0.039,348.16,2026-01-01 08:07:50,aiken_ptfe_901_plc,new,new48
901,2026-01-01 08:08:00,OP101,JOB1001,1,2,49.41,154.62,340.03,59.51,28.51,9.62,48.42,5.019,0.029,348.6,2026-01-01 08:08:00,aiken_ptfe_901_plc,new,new49
901,2026-01-01 08:08:10,OP101,JOB1001,1,2,49.56,151.09,340.19,58.45,31.04,9.82,48.57,4.98,0.024,347.77,2026-01-01 08:08:10,aiken_ptfe_901_plc,new,new50
901,2026-01-01 08:08:20,OP101,JOB1001,1,2,50,146.39,340.67,59.6,28.44,10.02,49,4.979,0.033,352.98,2026-01-01 08:08:20,aiken_ptfe_901_plc,new,new51
901,2026-01-01 08:08:30,OP101,JOB1001,1,2,49.63,154.3,341.13,61.34,28.52,10.22,48.64,5.015,0.028,352.48,2026-01-01 08:08:30,aiken_ptfe_901_plc,new,new52
901,2026-01-01 08:08:40,OP101,JOB1001,1,2,49.45,153.78,340.07,58.9,29.6,10.42,48.46,4.954,0.028,349.55,2026-01-01 08:08:40,aiken_ptfe_901_plc,new,new53
901,2026-01-01 08:08:50,OP101,JOB1001,1,2,50.62,151.95,341.9,59.4,29.83,10.62,49.61,4.999,0.033,349.03,2026-01-01 08:08:50,aiken_ptfe_901_plc,new,new54
901,2026-01-01 08:09:00,OP101,JOB1001,1,2,50.54,153.72,341.36,60.06,28.44,10.82,49.53,4.958,0.028,351.81,2026-01-01 08:09:00,aiken_ptfe_901_plc,new,new55
901,2026-01-01 08:09:10,OP101,JOB1001,1,2,49.51,148.57,340.79,58.63,31.55,11.02,48.52,5.036,0.036,351.01,2026-01-01 08:09:10,aiken_ptfe_901_plc,new,new56
901,2026-01-01 08:09:20,OP101,JOB1001,1,2,50.26,145.1,341.44,60.61,28.33,11.22,49.25,5.031,0.028,350.16,2026-01-01 08:09:20,aiken_ptfe_901_plc,new,new57
901,2026-01-01 08:09:30,OP101,JOB1001,1,2,50.07,147.33,338.74,57.36,31.01,11.42,49.07,5.034,0.026,350.86,2026-01-01 08:09:30,aiken_ptfe_901_plc,new,new58
901,2026-01-01 08:09:40,OP101,JOB1001,1,2,50.27,147.39,338.17,57.98,30.68,11.62,49.26,4.966,0.026,351.89,2026-01-01 08:09:40,aiken_ptfe_901_plc,new,new59
901,2026-01-01 08:09:50,OP101,JOB1001,1,2,49.21,154.38,341.82,59.85,28.96,11.82,48.23,4.954,0.037,348.96,2026-01-01 08:09:50,aiken_ptfe_901_plc,new,new60
901,2026-01-01 08:10:00,OP101,JOB1001,1,2,50.27,152.89,338.44,58.79,30.4,12.02,49.26,5.028,0.028,351.83,2026-01-01 08:10:00,aiken_ptfe_901_plc,new,new61
