name,machine_unique_id,machine_id,Extra_Column,t_stamp_raw
demo_ptfe_801_plc,1000,801,new_11,2026-01-01 10:46:30
demo_ptfe_801_plc,1001,801,new_23,2026-01-01 10:46:30
demo_ptfe_801_plc,1002,801,new_33,2026-01-01 10:46:30
demo_ptfe_801_plc,1003,801,new_44,2026-01-01 10:46:30
demo_ptfe_801_plc,1004,801,new_55,2026-01-01 10:46:30
demo_ptfe_801_plc,1005,801,new_66,2026-01-01 10:46:30
demo_ptfe_801_plc,1006,801,new_77,2026-01-01 10:46:30
demo_ptfe_801_plc,1007,801,new_88,2026-01-01 10:46:30
demo_ptfe_801_plc,1008,801,new_99,2026-01-01 10:46:30
demo_ptfe_801_plc,1009,801,new_100,2026-01-01 10:46:30
demo_ptfe_801_plc,1010,801,new_101,2026-01-01 10:46:30
demo_ptfe_801_plc,1011,801,new_102,2026-01-01 10:46:30
demo_ptfe_801_plc,1011,801,new_102,2026-01-01 10:46:30
demo_ptfe_801_plc,1012,801,new_103,2026-01-01 10:46:30
demo_ptfe_801_plc,1012,801,new_104,2026-01-02 10:46:41
demo_ptfe_801_plc,1012,801,new_104,2026-12-07 10:46:41

